id,enseignement,module,orientation,annee,ects,responsable,rattachement,autres_enseignants,nb_competences,nb_validees,statut
GEOGENVISOCI,"Géographie, environnement et sociétés : approches et théories contemporaines",M1 – Initiation aux orientations,Propédeutique,1re,6,Mathis Stock,FGSE,C. Arnsperger ; J. Steinberger,0,0,À documenter
INTRSCIEENVI,Introduction aux sciences de l'environnement,M1 – Initiation aux orientations,Propédeutique,1re,6,Grégoire Mariéthoz,FGSE,N. Chèvre ; S. Lane ; M. Keiluweit ; M.-E. Perga ; J. Steinberger,0,0,À documenter
GEOLINTRSCIE,Géologie : introduction aux Sciences de la Terre,M1 – Initiation aux orientations,Propédeutique,1re,6,Sébastien Pilet,FGSE,G. Hetényi ; S. Jaccard,0,0,À documenter
POPUCROI,Population et dé/croissance,M2 – Préparation à une orientation (GES),Propédeutique,1re,6,Christophe Mager,FGSE,,0,0,À documenter
PENSGEOG,La pensée géographique,M2 – Préparation à une orientation (GES),Propédeutique,1re,6,Patrick Rérat,FGSE,M. Müller,0,0,À documenter
EXCUCASGES,Excursions et cas d'études (GES),M2 – Préparation à une orientation (GES),Propédeutique,1re,3,Christian Arnsperger,FGSE,,0,0,À documenter
REGACROICHAN,Regards croisés sur le changement climatique,M2 – Préparation à une orientation (les 3 blocs),Propédeutique,1re,3,Samuel Jaccard,FGSE,D. Domeisen ; J. Steinberger,0,0,À documenter
SYSTENER,Systèmes énergétiques,M2 (SE) ; M6 – Transition écologique (GES),Propédeutique,1re,3,Selin Yilmaz,FGSE,,0,0,À documenter
CHIMGENE,Chimie générale,"M2 – Préparation à une orientation (SE, Géologie)",Propédeutique,1re,3,S. Terrettaz (EPFL),EPFL,,0,0,À documenter
PHYSGENEI,Physique générale I,"M2 – Préparation à une orientation (SE, Géologie)",Propédeutique,1re,3,R. Trappitsch (EPFL),EPFL,,0,0,À documenter
EXCUCASSE,Excursions et cas d'études (SE),M2 – Préparation à une orientation (SE),Propédeutique,1re,3,Nathalie Chèvre,FGSE,M.-E. Perga ; S. Lane ; P. Vittoz,3,3,Documenté
INTRGEOLALPI,Introduction à la géologie alpine,M2 – Préparation à une orientation (SE),Propédeutique,1re,3,Guillaume Jouvet,FGSE,J.-D. Champagnac,5,5,Documenté
GEOLREGI,Géologie régionale,M2 – Préparation à une orientation (Géologie),Propédeutique,1re,3,Pierre Lanari,FGSE,S. Schmalholz,0,0,À documenter
CAMPTERRGEOL,Camp de terrain en géologie,M2 – Préparation à une orientation (Géologie),Propédeutique,1re,3,Stefan Schmalholz,FGSE,A. Daley ; A. Samsu,3,3,Documenté
HISTVIESTRA,Histoire de la Vie et stratigraphie,M2 – Préparation à une orientation (Géologie),Propédeutique,1re,3,Allison Daley,FGSE,J. Marin-Carbonne ; P. Gueriau,2,2,Documenté
METHQUANINTRI,Méthodes quantitatives I : introduction aux principes et statistiques descriptives,M3 – Méthodes de base (3 orientations),Propédeutique,1re,3,G. Guex,FGSE,,0,0,À documenter
METHQUANSTATII,Méthodes quantitatives II : statistiques inférentielles,M3 – Méthodes de base (3 orientations),Propédeutique,1re,3,G. Guex,FGSE,,0,0,À documenter
GEOINFI,Géoinformatique I,M3 – Méthodes de base (3 orientations),Propédeutique,1re,6,Christian Kaiser,FGSE,,0,0,À documenter
INTRMETHQUAL,Introduction aux méthodes qualitatives,M3 – Méthodes de base (GES),Propédeutique,1re,3,R. Kunz (SSP),UNIL – SSP,,0,0,À documenter
MATHGEOS,Mathématiques pour les géosciences,"M3 – Méthodes de base (SE, Géologie)",Propédeutique,1re,3,K. Zuleta (EPFL),EPFL,,0,0,À documenter
ELEMECOL,Eléments d'écologie,M4 – Sciences de base (3 orientations),Propédeutique,1re,3,Antoine Guisan,FGSE,,0,0,À documenter
ELEMSCIEECON,Eléments de sciences économiques,"M4 – Sciences de base (GES, SE)",Propédeutique,1re,3,Valérie Boisvert,FGSE,NN,3,3,Documenté
ELEMSCIESOCI,Eléments de sciences sociales,"M4 – Sciences de base (GES, SE)",Propédeutique,1re,3,J. Pollard (SSP),UNIL – SSP,,0,0,À documenter
MINEGENE,Minéralogie générale,M4 – Sciences de base (Géologie),Propédeutique,1re,3,Sébastien Pilet,FGSE,,0,0,À documenter
MINEOPTI,Minéralogie optique,M4 – Sciences de base (Géologie),Propédeutique,1re,3,Othmar Müntener,FGSE,,0,0,À documenter
GEOGSOCICULT,Géographie sociale et culturelle,M1 – Géographie humaine,"Géographie, environnement et sociétés",2e,6,René Véron,FGSE,L. Chanteloup,6,6,Documenté
GEOGURBA,Géographie urbaine,M1 – Géographie humaine,"Géographie, environnement et sociétés",2e,6,Céline Rozenblat,FGSE,M. Rogov,3,3,Documenté
GEOGECON,Géographie économique,M1 – Géographie humaine,"Géographie, environnement et sociétés",2e,3,Christophe Mager,FGSE,,0,0,À documenter
AMENTERR,Aménagement du territoire,M1 – Géographie humaine,"Géographie, environnement et sociétés",2e,6,Gabriela Debrunner,FGSE,,0,0,À documenter
ECOLANTHINTR,Écologies de l'Anthropocène : une introduction aux humanités environnementales,M2 – Durabilité et transition écologique,"Géographie, environnement et sociétés",2e,3,S. A. Schroer,FGSE,,3,3,Documenté
GESTSOCIFLUX,Gestion sociale des flux de matière,M2 – Durabilité et transition écologique,"Géographie, environnement et sociétés",2e,6,Julia Steinberger,FGSE,C. Arnsperger,0,0,À documenter
POLIENVI,Politiques environnementales,M2 – Durabilité et transition écologique,"Géographie, environnement et sociétés",2e,6,J. Pollard (SSP),UNIL – SSP,,0,0,À documenter
GESTEAU,Gestion de l'eau,M3 – Environnement naturel (GES) ; M5 (SE),"Géographie, environnement et sociétés",2e,3,Emmanuel Reynard,FGSE,,3,3,Documenté
GEOMORI,Géomorphologie I,M3 (GES) ; M3 (SE) ; M2 (Géologie),"Géographie, environnement et sociétés",2e,3,Emmanuel Reynard,FGSE,,3,3,Documenté
TELEDE,Télédétection,M3 (GES) ; M2 (SE) ; M3 (Géologie),"Géographie, environnement et sociétés",2e,3,Grégoire Mariéthoz,FGSE,,0,0,À documenter
PRODSAVOGEOG,Production de savoirs en géographie et environnement,M4 – Outils et méthodes (GES) ; M4 (SE),"Géographie, environnement et sociétés",2e,3,Christian Kull,FGSE,S. Lane,3,3,Documenté
METHQUANSTATIII,Méthodes quantitatives III : statistiques multivariées,M4 (GES) ; M2 (SE),"Géographie, environnement et sociétés",2e,3,G. Guex,FGSE,,0,0,À documenter
METHENQUANAL,Méthodes d'enquête et d'analyse,M4 – Outils et méthodes,"Géographie, environnement et sociétés",2e,3,Céline Rozenblat,FGSE,M. Rogov,3,3,Documenté
METHQUALAVAN,Méthodes qualitatives avancées : méthodes et terrains,M4 – Outils et méthodes,"Géographie, environnement et sociétés",2e,6,Laine Chanteloup,FGSE,G. Walters,0,0,À documenter
GEOINFII,Géoinformatique II,M5 (GES) ; M6 (SE) ; M6 (Géologie),"Géographie, environnement et sociétés",3e,3,Tom Beucler,FGSE,,0,0,À documenter
POLIECOL,Political Ecology,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Christian Kull,FGSE,,3,3,Documenté
TOURENVISOCI,"Tourisme : environnement, société, économie",M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Morgane Müller,FGSE,C. Clivaz ; L. Kébir ; M. Stock,3,3,Documenté
GEOGMOBI,Géographie des mobilités,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,Patrick Rérat,FGSE,,0,0,À documenter
GEOGDEVE,Géographie du développement,M5 – Spécialisation en géographie humaine,"Géographie, environnement et sociétés",3e,3,René Véron,FGSE,,5,5,Documenté
